video_id,title,channel_name,published_at,duration,view_count,like_count,comment_count,total_words,sensitive_count,sensitive_ratio,classification,found_terms,ad_status,violence_death_count,sexual_content_count,profanity_count,drugs_substances_count,hate_speech_slurs_count,mental_health_count,political_controversial_count,weapons_military_count,coded_numbers_count
9HQghy9ZtY4,Avatar 3 - Tired And Ass,The Critical Drinker,2025-12-22,PT13M54S,1609352,94687,15477,2743,42,1.5312,Likely Monetised,"worst, threat, hate, die, hell, white, shoot, regret, evil, war",Yes,9,0,7,0,2,0,20,4,0
9NWCZek9rpE,The Beginning Of The End,The Critical Drinker,2025-12-08,PT8M47S,1354679,79024,13404,1777,13,0.7316,Likely Monetised,"irrelevant, hang, die, dead, shit, white, war, sex, damn, transition",Yes,5,1,3,0,1,0,3,0,0
9P4Z68blYZg,Woke Hollywood is Breaking Up,Nerdrotic,2025-05-29,PT18M24S,656184,42954,3822,3537,48,1.3571,Likely Monetised,"hate, white, god, burn, stupid, die, majority, shoot, racist, suicide",Yes,6,0,8,0,7,3,17,7,0
9TnTcfP4lcw,,,,,0,0,0,3436,17,0.4948,Likely Monetised,"racist, strike, transition, hell, majority, damn, god, insane, stupid, death",Yes,2,0,8,0,4,0,3,0,0
9XgMEfOdRPI,,,,,0,0,0,2091,37,1.7695,Likely Monetised,"propaganda, threat, die, hell, villain, false, evil, assault, war, sterile",Yes,3,0,5,0,0,0,29,0,0
9faEnSxkYFU,She RAMMED ICE With Her Car & Then Something Absurd Happened!,TheQuartering,2026-03-05,PT11M47S,51488,4986,903,1805,22,1.2188,Likely Monetised,"jail, hate, judge, white, harass, kidnap, damn, mug, wrong, attack",Yes,2,0,5,0,2,0,12,1,0
9sa_b2D7ymU,"Woke Is Broke, and That's a Good Thing",Nerdrotic,2025-08-12,PT21M15S,572003,52701,4794,4142,51,1.2313,Likely Monetised,"hate, nazi, dead, white, god, wrong, attack, death, minority, propaganda",Yes,6,0,8,0,21,0,16,0,0
9si7ztbQ_-4,Drake’s Lawsuit Could Destroy HipHop | OLAY & FRIENDS,olurinatti,2025-01-19,PT1H44M37S,87464,4569,373,22334,151,0.6761,Likely Monetised,"bail, hate, dead, loser, white, rape, false, evil, god, burn",,22,5,32,0,30,2,54,6,0
9smMPnUd_Bs,RABBI YISROEL DOVID WEISS ON ZIONISM AND PALESTINE | Escaping the Cave Ep. 4,midwesternmarx,2025-03-07,PT42M12S,2710,212,21,7414,132,1.7804,Likely Monetised,"holocaust, hate, nazi, dead, white, false, chemical, god, kill, attack",Yes,39,0,56,1,21,0,12,3,0
A3pdBGEKc7E,,,,,0,0,0,3446,28,0.8125,Likely Monetised,"racist, assassinate, shit, disaster, sexist, regret, majority, wrong, kill, stupid",Yes,3,0,10,0,13,0,2,0,0
AAHrkNOGME0,Making Marxism Great Again | Probably Cancelled w/ Catherine Liu,midwesternmarx,2024-11-25,PT1H7M59S,21594,1161,162,11071,78,0.7045,Likely Monetised,"hate, dead, suppress, inflation, white, rape, assault, dictator, god, kill",No,15,8,9,0,14,5,26,1,0
AGFRZ_yvdnI,Interview w/ Professor Tim Orr: On The Charge of the First Minnesota. - Part. 1.,midwesternmarx,2021-05-23,PT39M5S,1212,52,1,6790,90,1.3255,Likely Monetised,"hate, torture, white, assault, burn, attack, death, die, kidnap, shoot",Yes,33,0,1,0,9,2,44,1,0
ALiHcmb_6xI,Alien: Earth - A Wild Ride,The Critical Drinker,2025-08-14,PT9M28S,1059682,58058,7828,1982,18,0.9082,Likely Monetised,"worst, dumber, dead, strike, pain, nuclear, shoot, injury, kill, procedure",Yes,7,0,2,0,0,1,5,3,0
ALuzIz0d9m0,"Eddie Liger on MAGA, ACP, and Culture Wars | Homeless Romantic Podcast",midwesternmarx,2024-08-11,PT55M36S,4517,325,198,11454,91,0.7945,Likely Monetised,"hate, weed, doxing, white, false, evil, wrong, burn, attack, kill",Yes,16,0,19,1,11,0,39,5,0
AOKQ7CptAAo,,,,,0,0,0,1501,18,1.1992,Likely Monetised,"die, hell, pregnant, war, defeat, insane, kill, burn, damn, fight",Yes,5,1,6,0,0,0,6,0,0
AOv2TFlV5m0,Starfleet Academy Facing CANCELED Rumors From AI Over Online Backlash,Geeks + Gamers,2026-01-27,PT6M58S,24608,1727,388,1164,6,0.5155,Likely Monetised,"irrelevant, hate, die, disaster, war, destroy",Yes,3,0,1,0,1,0,1,0,0
APBsDqjlRE0,"So... What Now, Marvel?",The Critical Drinker,2025-08-06,PT7M57S,2216674,91662,12762,1510,10,0.6623,Likely Monetised,"die, bitter, hell, disaster, sex, war, insane, damn, gun, damage",Yes,2,1,4,0,0,0,2,1,0
Ac03UgJDUcE,,,,,0,0,0,1361,10,0.7348,Likely Monetised,"hate, die, black, wrong, god, gun",Yes,1,0,4,0,3,0,0,2,0
Akl_kYPEYgQ,The Best And Worst Of 2025,The Critical Drinker,2025-12-29,PT19M25S,1241340,78515,6737,3922,50,1.2749,Likely Monetised,"weed, white, wrong, god, stupid, die, villain, shoot, espionage, dumber",Yes,3,0,20,1,4,0,12,10,0
Al4Szx0ZEm8,,,,,0,0,0,4543,57,1.2547,Likely Monetised,"white, wrong, god, kill, stupid, shit, death, die, majority, sex",Yes,6,1,12,0,27,0,8,3,0
AoeJUvAn_6I,Crash And Burn - The Brie Larson Story,The Critical Drinker,2025-08-01,PT10M32S,2771910,118729,11827,2161,20,0.9255,Likely Monetised,"jail, hate, virus, beer, die, burn, white, disaster, controversy, war",Yes,7,0,3,1,4,0,5,0,0
B9DzRYOyiXw,Black Celebs Are Tap Dancing for Donald Trump | OLAY & FRIENDS,olurinatti,2025-01-26,PT1H13M9S,85070,5445,540,14988,205,1.3678,Likely Monetised,"racism, hate, nazi, white, rape, false, evil, wrong, god, attack",,7,1,25,0,136,0,36,0,0
BDRq6A77tPw,,,,,0,0,0,2447,25,1.0217,Likely Monetised,"dead, strike, weapon, black, attack, wrong, kill, slave, blood, fight",Yes,17,0,1,0,1,0,5,1,0
BIfDKKbmDJI,Eddie Liger's CONTROVERSIAL Speech at the Chicago Workers School,midwesternmarx,2024-06-17,PT23M2S,5788,548,128,4147,48,1.1575,Likely Monetised,"slavery, propaganda, genocide, transition, white, terror, war, black, dictator, kill",Yes,13,0,0,0,10,0,25,0,0
BdRF0TTY_sQ,,,,,0,0,0,3917,78,1.9913,Likely Monetised,"worst, threat, hate, hang, strike, hell, injury, sex, insane, damn",Yes,2,1,11,0,6,0,28,30,0
BhPb1vA9LXo,Disney's Woke Plan DESTROYED By Snow White Failure,Geeks + Gamers,2025-04-22,PT8M9S,54546,4641,570,1445,31,2.1453,Uncertain,"worst, white, disaster, nonsense, wrong, burn, attack, insane, flag, destroy",Yes,13,0,5,0,12,0,1,0,0
Bhxcpng7IUo,Ironheart is Hilariously DUMB - The M-She-U Needs to End,Nerdrotic,2025-07-03,PT20M12S,758090,46385,6609,3501,68,1.9423,Likely Monetised,"hate, white, evil, god, kill, attack, crime, transition, death, die",Yes,22,0,18,0,15,0,12,1,0
Bi8g8KfzTZk,How Zionists Systematically Exterminate Palestinian Artists - Viral Tik Tok,midwesternmarx,2024-01-03,PT1M21S,730,121,8,252,8,3.1746,Likely Demonetised,"racist, murder, wrong, kill, destroy",Yes,6,0,1,0,1,0,0,0,0
BkljlgKzuBo,Loads of Porn Stars Regret Doing Porn,The Podcast of the Lotus Eaters,2022-09-24,PT19M14S,526633,14766,4254,4308,104,2.4141,Uncertain,"pornhub, torture, porn, loser, rape, evil, regret, god, pornography, wrong",Yes,5,58,14,8,0,4,13,2,0
BtHYUzyWMgE,VICE Suffer Delusions of Women's Rights,The Podcast of the Lotus Eaters,2022-02-19,PT19M25S,398523,19944,3876,4014,26,0.6477,Likely Monetised,"worst, stupid, hang, terrorist, grenade, white, corruption, god, wrong, crime",Yes,6,0,7,0,1,0,10,2,0
Bx28xZ25ha0,Amazon's G20 is Hilariously BAD,Nerdrotic,2025-04-13,PT17M2S,582551,43698,6124,3176,44,1.3854,Likely Monetised,"dead, white, assault, kill, wrong, attack, death, propaganda, die, slavery",Yes,12,0,14,0,10,0,8,0,0
C-CsWKvrEMQ,Women Can Be Predators Too & Men Can Be Victims | OLAY & FRIENDS,olurinatti,2023-06-25,PT2H2M57S,43771,2039,156,24246,350,1.4435,Likely Monetised,"hate, dead, porn, white, rape, evil, injury, assault, kill, god",,48,104,27,0,99,3,50,19,0
C1qi3TkxhQ8,An Apology To Critical Drinker Nerdrotic & Geeks & Gamers,TheQuartering,2026-03-04,PT11M49S,88913,7120,1387,1915,16,0.8355,Likely Monetised,"die, dead, disaster, evil, nonsense, wrong, black, damn, stupid",Yes,3,0,11,0,1,0,1,0,0
C5GdXAerJ-o,,,,,0,0,0,3239,9,0.2779,Likely Monetised,"hate, hell, fuck, disaster, war, damn",Yes,1,0,4,0,1,0,3,0,0
CDOov2JpBAo,,,,,0,0,0,2856,13,0.4552,Likely Monetised,"dead, strike, hell, majority, war, slave, black, stupid, shoot",Yes,3,0,3,0,3,0,3,1,0
CFDDf48nj9g,America's Coming Weimar Moment,Three Arrows,2022-08-17,PT31M1S,648387,33330,5879,4617,110,2.3825,Uncertain,"bastard, nazi, dead, white, god, attack, transition, death, minority, propaganda",No,12,0,2,1,22,0,72,1,0
CTSGApgZrMY,Steam is being Threatened by the Modern Audience now,Hero Hei,2026-03-02,PT2M40S,112053,7009,2346,570,6,1.0526,Likely Monetised,"worst, censorship, kill, stupid, shoot",Yes,1,0,2,0,0,0,1,2,0
CVMQ2WaI1HY,Walmart BLACK FATIGUE Goes Nuclear,TheQuartering,2026-03-09,PT13M3S,130733,8527,2625,1815,43,2.3691,Uncertain,"jail, slavery, meltdown, homicide, white, gun, kill, black, crime, shoot",Yes,15,0,1,0,22,0,1,4,0
CVyTOLP9VkQ,The Brick Lady & The Gender Wars | OLAY & FRIENDS,olurinatti,2024-01-24,PT1H10M28S,42857,2319,316,15143,367,2.4236,Uncertain,"weed, dead, white, rape, injury, assault, wrong, kill, crime, attack",,67,1,14,1,189,1,80,14,0
CYlQaFcMpWI,,,,,0,0,0,2769,19,0.6862,Likely Monetised,"worst, hang, death, dead, hell, shoot, war, blood, kill, attack",Yes,5,0,4,0,1,0,5,4,0
C_kEBQcf0xY,"Dr Umar, Pseudo-Intellectual Nonsense, and American Exceptionalism | OLAY & FRIENDS",olurinatti,2024-07-15,PT2H9M49S,70178,3417,333,27081,557,2.0568,Uncertain,"racism, hate, weed, dead, scum, torture, white, rape, penis, god",,56,5,47,7,395,1,46,0,0
CeVrooNAunE,Rachel Zegler Blames YOU For Her Failures,Geeks + Gamers,2026-03-10,PT11M16S,8971,932,194,1980,34,1.7172,Likely Monetised,"threat, hell, white, disaster, controversy, nonsense, violence, wrong, attack, bigot",Yes,4,0,3,0,16,0,11,0,0
Cf18Jx4hINk,,,,,0,0,0,1600,11,0.6875,Likely Monetised,"dead, judge, fuck, shoot, god, damn, transition, gun",Yes,1,0,3,0,0,0,2,5,0
Cg9mW1uTxyU,PODCAST #2: CAPITOL STORMING AND THE PESSIMISTIC LEFT,midwesternmarx,2021-01-13,PT35M24S,1796,125,12,6495,64,0.9854,Likely Monetised,"dead, white, loser, false, wrong, kill, god, attack, transition, stupid",Yes,13,0,18,0,10,2,20,1,0
CpHwD-8hb1c,,,,,0,0,0,1695,20,1.1799,Likely Monetised,"threat, hate, hang, strike, villain, depression, cringe, defeat, kill, black",Yes,2,0,6,0,6,1,5,0,0
CskLY0-7_zY,Kyle Kulinski CRIES Over Matt Walsh Crime Takes,Actual Justice Warrior,2023-04-24,PT37M40S,113210,5953,2203,7296,225,3.0839,Likely Demonetised,"weed, white, rape, assault, kill, wrong, crime, attack, stupid, transition",Yes,133,3,12,4,11,1,60,1,0
CuOUEXpFgVU,Is America Obsessed with Celebrities? | OLAY & FRIENDS,olurinatti,2024-06-09,PT2H8M52S,81871,4462,404,27510,542,1.9702,Likely Monetised,"hate, dead, white, injury, god, kill, wrong, oppressor, attack, transition",,37,11,46,0,424,1,22,1,0
CuTnb3dtbe8,Gamestop BREAKS The Internet w/ Trump Memes - Games Journos MELTDOWN,Geeks + Gamers,2025-10-27,PT7M53S,26250,2994,390,1324,9,0.6798,Likely Monetised,"meltdown, white, war, majority, flag",Yes,0,0,1,0,2,0,6,0,0
Cvnfpxv2lvs,,,,,0,0,0,1305,17,1.3027,Likely Monetised,"worst, discrimination, white, villain, evil, god, black, stupid",Yes,0,0,5,0,11,0,1,0,0
D0aqIq36t3s,,,,,0,0,0,1996,16,0.8016,Likely Monetised,"hate, bastard, die, hell, alcohol, white, god, burn, shit, fight",Yes,3,0,4,1,4,0,2,2,0
D2evG_dHQiI,,,,,0,0,0,2110,21,0.9953,Likely Monetised,"evil, gun, black, god, blood, attack, weapon, flag, damage",Yes,5,0,3,0,2,0,7,4,0
D6cpD_vfVP4,Cincinnati CAUGHT Paying Black Activist To ATTACK Cops,Actual Justice Warrior,2025-08-11,PT14M52S,147188,8304,2162,2735,67,2.4497,Uncertain,"suppress, white, god, wrong, attack, crime, stupid, beer, nonsense, black lives matter",Yes,16,0,11,3,25,0,11,1,0
DDHqE-AJsh0,,,,,0,0,0,515,1,0.1942,Likely Monetised,destroy,Yes,1,0,0,0,0,0,0,0,0
DFCshwzb2os,,,,,0,0,0,1703,33,1.9378,Likely Monetised,"threat, propaganda, die, tax, hell, white, weapon, war, wrong, insane",Yes,2,0,3,0,1,0,13,14,0
DFGXQzR488Y,Conservative Party Unable to Fully Commit Against Critical Race Theory,The Podcast of the Lotus Eaters,2020-11-10,PT9M,13751,1167,105,1964,21,1.0692,Likely Monetised,"racist, anti-semitic, hang, tax, opposition, evil, nonsense, majority, damn, wrong",Yes,1,0,4,0,7,0,9,0,0
DFgZSCkggTY,FEMINIST TEACHER JUST LOST EVERYTHING & IS HEADING TO PRISON!,TheQuartering,2026-02-27,PT10M49S,124909,9128,1254,1553,15,0.9659,Likely Monetised,"jail, vape, prison, wrong, destroy, court",Yes,3,0,2,7,0,0,3,0,0
DJIIaN7Z2L0,,,,,0,0,0,2096,9,0.4294,Likely Monetised,"hang, punishment, regret, war, burn, escort, gun",Yes,1,1,0,0,0,0,5,2,0
DTXBi3E9mo4,DONALD TRUMP ASSASSINATION ATTEMPT JUST STOPPED! MAN STORMS MAR-A-LAGO ARMED & WITH GAS CANS!,TheQuartering,2026-02-22,PT12M8S,72209,6545,1363,2038,27,1.3248,Likely Monetised,"threat, prison, hell, white, antifa, prosecutor, war, defeat, burn, insane",Yes,1,0,2,0,4,0,7,13,0
DfXD7Gbm3cQ,The Fall of Ice Spice: Colorism & Transactional Relationships | OLAY & FRIENDS,olurinatti,2024-09-16,PT1H37M48S,101919,4781,342,21152,142,0.6713,Likely Monetised,"hate, nazi, dead, white, evil, wrong, burn, attack, god, stupid",,14,1,37,0,70,6,13,1,0
DuSScLV2q2g,Why the Right is Obsessed with Trans People,olurinatti,2023-04-21,PT8M9S,23103,3529,278,1541,27,1.7521,Likely Monetised,"dead, torture, evil, shit, stupid, irrelevant, dysphoria, beer, hang, homicide",,7,0,5,2,4,2,7,0,0
DvD1lHts-BA,Jimmy Kimmel CANCELED - Disney Pulls the Plug After Charlie Kirk Comments,Nerdrotic,2025-09-18,PT10M36S,402579,38451,4704,1971,28,1.4206,Likely Monetised,"racist, hate, murder, hell, white, judge, loser, antifa, bitch, assault",Yes,14,0,7,0,6,0,1,0,0
E0UvbJEf0Uc,WOKE PROFESSOR FINDS OUT! HER OWN PEERS TURN ON HER,TheQuartering,2026-02-23,PT11M50S,126087,8224,926,1944,39,2.0062,Uncertain,"racist, discrimination, racism, meltdown, white, god, black, wrong",Yes,0,0,4,0,35,0,0,0,0
E_TDQo9Zpv8,The Iraq War: PragerU vs. Reality,Three Arrows,2023-03-03,PT1H12M42S,510213,20659,2250,9734,223,2.2909,Uncertain,"weed, nazi, dead, torture, white, false, evil, chemical, assault, dictator",Yes,38,1,8,12,12,1,97,41,13
EcHN7DN9TOo,,,,,0,0,0,3045,14,0.4598,Likely Monetised,"hang, pain, hell, injury, attack, insane, weapon, shoot, destroy",Yes,3,0,2,0,0,1,2,6,0
ErkPNJWggX4,Stranger Things Season 5 - The Last Real TV Event?,The Critical Drinker,2025-12-01,PT9M59S,755448,38712,5949,2074,26,1.2536,Likely Monetised,"worst, threat, pain, villain, decimate, weapon, gun, mentally, war, kidnap",Yes,9,0,6,0,0,2,6,3,0
Eu-IjsbxIIw,MAGA Communism: Fact vs. Fiction,midwesternmarx,2025-04-16,PT4M16S,12192,902,499,809,7,0.8653,Likely Monetised,"judge, war, wrong, attack, fight",No,3,0,1,0,0,0,3,0,0
Exdq6NqAuDE,The Rise of Class Solidarity? | OLAY & FRIENDS,olurinatti,2025-01-12,PT1H21M55S,51942,3183,235,17827,257,1.4416,Likely Monetised,"racism, hate, dead, suppress, white, breast, evil, wrong, burn, attack",,38,2,25,0,160,2,23,7,0
EyiXnH8s4Hc,Fantastic Four: First Steps REVIEW - The Best Marvel Flop of the Year,Nerdrotic,2025-07-24,PT25M18S,955711,46152,8126,4997,33,0.6604,Likely Monetised,"evil, god, burn, wrong, kill, stupid, die, pregnant, sex, jail",Yes,5,2,8,0,1,0,15,2,0
F8nzXIxOdD8,Snow White is AWFUL - The FOULEST of Them All,Nerdrotic,2025-03-24,PT17M12S,2100013,104478,14500,3334,69,2.0696,Uncertain,"bounty, hate, inflation, white, evil, wrong, god, kill, death, propaganda",Yes,10,0,9,0,39,0,11,0,0
FEwzEHFAZv8,Socialist Countries Tier List Part 2,midwesternmarx,2025-07-15,PT32M16S,2539,95,65,5277,74,1.4023,Likely Monetised,"hate, nazi, dead, evil, kill, wrong, attack, stupid, transition, irrelevant",Yes,25,0,5,0,8,0,35,1,0
FFmXyiyIfuo,,,,,0,0,0,1900,7,0.3684,Likely Monetised,"worst, die, burn, white, breast, black, shoot",Yes,2,1,1,0,2,0,0,1,0
FKq9SWSjB6U,WE NEED TO TALK ABOUT THIS,TheQuartering,2026-03-09,PT14M34S,54345,4103,948,2166,41,1.8929,Likely Monetised,"racism, hate, terrorist, nypd, white, villain, crime, terror, supremacist, violence",Yes,10,0,6,0,15,0,10,0,0
FLze1JuaaqM,,,,,0,0,0,1640,17,1.0366,Likely Monetised,"worst, assassinate, die, villain, cringe, nonsense, war, kill, black, stupid",Yes,8,0,5,0,1,0,2,1,0
FOUWfNReu1c,,,,,0,0,0,1141,5,0.4382,Likely Monetised,"hell, war, strike",Yes,0,0,1,0,0,0,4,0,0
FTtbjkCS6RI,,,,,0,0,0,958,2,0.2088,Likely Monetised,"hate, disaster",Yes,1,0,0,0,1,0,0,0,0
FTxzfH6jIoY,YOUTUBE TO REQUIRE ID'S & THE DEATH OF INTERNET PRIVACY,TheQuartering,2026-03-05,PT11M18S,43612,2691,1371,1872,8,0.4274,Likely Monetised,"racist, hell, nonsense, wrong, black, flag",Yes,0,0,5,0,2,0,1,0,0
FX8Iw37srmY,The Marketplace of Ideas | Germany vs. USA,Three Arrows,2019-02-15,PT30M21S,364612,19444,2307,5795,103,1.7774,Likely Monetised,"racism, holocaust, hate, nazi, suppress, dead, white, neo-nazi, false, kill",No,30,1,8,0,32,0,29,2,1
Figo2w2qRJ8,Why Marvel is FAILING - The House is Out of Ideas,Nerdrotic,2025-02-27,PT15M34S,564663,37816,2740,3279,15,0.4575,Likely Monetised,"strike, white, villain, majority, wrong, black, kill, bigot, shoot",Yes,1,0,3,0,7,0,2,2,0
Fjutn4sGMWM,Why You Should Vote For Your Weakest Adversary,olurinatti,2023-12-31,PT3H10M29S,93517,6602,775,37554,592,1.5764,Likely Monetised,"hate, stupid, transition, irrelevant, propaganda, prosecutor, opposition, cocaine, incest, slave",,126,6,39,2,188,4,212,14,1
FnACzwV7Mwc,"If Pretty is a Privilege, Ugly is a Curse",olurinatti,2025-08-28,PT1H58M14S,641563,36602,3899,23898,304,1.2721,Likely Monetised,"racism, hate, nazi, dead, white, rape, breast, evil, assault, kill",,36,24,28,0,190,3,20,3,0
Fu-MDEXwV4s,Was Every German Soldier Evil?,Three Arrows,2020-08-14,PT33M5S,544223,33104,4465,1715,83,4.8397,Likely Demonetised,"worst, murder, flag, die, nazi, fuck, fight, war, hitler, wrong",No,63,0,3,0,12,0,4,1,0
FyL6luy89mY,American Communist Party WINS ELECTION! Chris Helali WINS High Bailiff,midwesternmarx,2024-11-06,PT1M27S,7853,512,63,222,2,0.9009,Likely Monetised,"violence, fight",No,1,0,0,0,0,0,1,0,0
G0W57kk_yUA,MrBeast Anime Tourist Situation got even Worse,Hero Hei,2026-01-10,PT2M55S,32851,1970,717,700,2,0.2857,Likely Monetised,"destroy, damage",Yes,1,0,0,0,0,0,1,0,0
G3wI8aIx4e8,Toledo Cop ARRESTED For Shoplifting,Actual Justice Warrior,2025-08-29,PT12M12S,35765,2256,850,2217,17,0.7668,Likely Monetised,"dead, false, black, crime, insane, black lives matter, stupid, criminal, court",Yes,8,0,4,0,3,0,2,0,0
GHEcJDl6aBk,The BAFTA's Big N-Word Debacle...,Clownfish TV,2026-02-26,PT25M6S,16767,1405,438,5563,45,0.8089,Likely Monetised,"racist, racism, worst, hate, alcohol, controversy, white, wrong, black, damn",Yes,0,0,7,1,34,0,3,0,0
GK-061GYjaI,,,,,0,0,0,3649,24,0.6577,Likely Monetised,"worst, racist, nazi, hell, war, attack, god, wrong, kill, damn",Yes,2,0,16,0,3,0,2,1,0
GLGoMq7Pygo,The Bombs that Land in Gaza Land in Detroit | Carlos Garrido at Free America to Free Palestine,midwesternmarx,2024-06-02,PT7M24S,2331,295,43,1007,20,1.9861,Likely Monetised,"racism, oppressor, genocide, murder, tax, nazi, segregation, white, war, kill",Yes,5,0,1,0,8,0,6,0,0
GWmeGEhxgzo,,,,,0,0,0,3959,13,0.3284,Likely Monetised,"tax, hell, controversy, blood, god, wrong, damn, flag",Yes,2,0,8,0,0,0,3,0,0
Ga6fNHtgdzg,"Shia LaBeouf ATTACKS Man In ""MAGA"" Hat & Instantly Regrets It!",TheQuartering,2026-02-19,PT12M3S,130445,9739,2444,1900,26,1.3684,Likely Monetised,"jail, beer, meltdown, dead, prison, alcohol, villain, sexual, regret, wrong",Yes,2,1,4,2,1,0,16,0,0
GgpkB-XIF_A,,,,,0,0,0,2125,37,1.7412,Likely Monetised,"hate, hell, white, war, god, black, kill, damn, black lives matter, flag",Yes,2,0,10,0,22,0,3,0,0
GkU7hieQlIU,Ironheart REVIEW - The Worst Marvel Ever Made?,Nerdrotic,2025-07-21,PT37M45S,692702,34036,4432,6659,104,1.5618,Likely Monetised,"racism, hate, dead, white, evil, wrong, god, kill, crime, attack",Yes,36,1,26,0,21,2,13,5,0
GkuIXHdvhEM,,,,,0,0,0,1203,14,1.1638,Likely Monetised,"racist, threat, dead, hell, white, disaster, war, kill, burn, destroy",Yes,7,0,1,0,4,0,2,0,0
GmtG1d-kYjo,Wonka Review -  They Lied to You,Culture Casino,2023-12-18,PT15M3S,26945,855,153,2676,6,0.2242,Likely Monetised,"worst, controversy, war, wrong, kill, shoot",Yes,1,0,2,0,0,0,2,1,0
Gmy6l-WbHqU,,,,,0,0,0,4511,26,0.5764,Likely Monetised,"threat, hate, strike, pandemic, schizophrenia, war, god, blood, damn, transition",Yes,1,0,6,0,1,1,17,0,0
GohlQuOJLpE,Does the Left Want to Destroy History?,Three Arrows,2018-07-07,PT26M10S,528960,20184,4671,5383,109,2.0249,Uncertain,"racism, nazi, dead, white, neo-nazi, god, kill, wrong, shit, death",No,27,0,4,0,46,1,31,0,0
GsTpP8GPlz0,"Update on Chicago  torture victim, How to help",Actual Justice Warrior,2017-01-06,PT4M59S,842,56,4,1037,54,5.2073,Likely Demonetised,"racist, worst, hate, torture, white, supremacist, kidnap, violence, attack, wrong",No,15,0,8,0,28,3,0,0,0
GvUAjcZ1r-U,The Winds of Winter is NOT Coming - ASOIAF Fans Sold Out For Hollywood,Nerdrotic,2025-10-19,PT17M36S,649093,32608,8105,3574,22,0.6156,Likely Monetised,"worst, die, bitter, hell, white, bitch, black, defeat, blood, kill",Yes,13,0,5,0,2,1,1,0,0
GwKj6_PxTTM,Bad News For James Gunn's Superman,Geeks + Gamers,2025-05-27,PT5M30S,48829,3361,984,1033,20,1.9361,Likely Monetised,"hate, gun, wrong",Yes,0,0,1,0,1,0,0,18,0
GxF0oliZEu0,Evo Morales: Rise of the First Indigenous President of Bolivia- Book Review and Summary,midwesternmarx,2021-04-22,PT17M24S,2676,373,37,3465,50,1.443,Likely Monetised,"white, decimate, evil, dictator, wrong, burn, kill, attack, stupid, hitler",Yes,10,0,2,5,9,0,23,1,0
H1WPE873mp0,Welcome to My Channel Olurinatti!,olurinatti,2023-03-17,PT1M14S,26531,1969,208,144,1,0.6944,Likely Monetised,propaganda,,0,0,0,0,0,0,1,0,0
H5lHIXiHdIE,,,,,0,0,0,525,6,1.1429,Likely Monetised,"racist, nazi, strike, violence, wrong",Yes,1,0,1,0,3,0,1,0,0
HBXy4us4J5Y,"Imani Barbarin on Disability Rights, Navigating Ableism & Creating Change | ICONIC INTERVIEW",olurinatti,2024-05-02,PT1H21S,17075,1990,153,12420,69,0.5556,Likely Monetised,"racism, hate, dead, white, breast, regret, god, oppressor, wrong, attack",,10,2,10,0,27,0,17,1,2
HDbtds8rbJw,,,,,0,0,0,371,5,1.3477,Likely Monetised,"evil, white, black",Yes,0,0,0,0,3,0,2,0,0
HGGaLmW0s38,The Election Is Over... Now What? | OLAY & FRIENDS,olurinatti,2024-11-07,PT2H16M59S,0,6503,1215,30109,286,0.9499,Likely Monetised,"racism, hate, dead, inflation, white, rape, kill, god, crime, wrong",,55,2,39,0,154,2,33,1,0
HKYy2mkkVgk,,,,,0,0,0,2179,16,0.7343,Likely Monetised,"hate, hell, white, harass, war, god, black, damn, stupid, criminal",Yes,1,0,4,0,9,0,2,0,0
HMJU0LohNKA,,,,,0,0,0,3959,13,0.3284,Likely Monetised,"irrelevant, dead, bitter, meltdown, hell, majority, damn, god, insane, shoot",Yes,1,0,10,0,1,0,0,1,0
HMvlHShkD-c,,,,,0,0,0,6518,33,0.5063,Likely Monetised,"inflation, hell, controversy, transgenderism, sexual, regret, bitch, war, majority, god",Yes,2,1,23,0,1,0,6,0,0
HOHthnsuhPw,Denial as a Tool of the Radical Right,Three Arrows,2018-02-16,PT9M57S,374320,16268,1542,2053,54,2.6303,Uncertain,"nazi, die, white, disaster, fight, neo-nazi, the big lie, war, burn, crime",Yes,16,0,1,0,26,0,11,0,0
HbFh51eS_ug,America Hates The Left & We Need A Plan,olurinatti,2024-12-08,PT19M58S,124067,13691,2409,4232,102,2.4102,Uncertain,"racism, bail, hate, white, wrong, attack, crime, stupid, minority, irrelevant",,16,0,6,0,57,1,22,0,0
HbkYJA-7jNU,Polygon is DEAD,Geeks + Gamers,2025-05-01,PT5M50S,26744,3028,336,1068,8,0.7491,Likely Monetised,"irrelevant, hang, judge, sexist, stupid, destroy",Yes,2,0,2,0,2,0,2,0,0
Hh74jSq4Zzw,When The Police FAIL,Actual Justice Warrior,2022-05-30,PT16M42S,39438,2649,727,3527,37,1.0491,Likely Monetised,"racist, die, dead, prison, white, weapon, evil, gun, nonsense, 911",Yes,7,0,7,0,7,0,5,7,4
Ho0aWvwQLlA,Prof. Garrido on Censorship and Free Speech at Platypus 2024 International Convention,midwesternmarx,2024-04-28,PT2H55M48S,1794,163,13,26715,334,1.2502,Likely Monetised,"racism, hate, nazi, suppress, torture, dead, white, neo-nazi, false, evil",No,61,2,21,2,132,1,110,5,0
IANrqmrntTE,,,,,0,0,0,1326,12,0.905,Likely Monetised,"worst, dead, controversy, evil, war, kill, burn, insane, death, shoot",Yes,6,0,2,0,0,0,3,1,0
